"Theta1","Theta2","Theta3","Theta4","Theta5","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31","J32","J33","J34","J35","J36","J37","J38","J39","J40","J41","J42","J43","J44","J45","J46","J47","J48","J49","J50","J51","J52","J53","J54","J55","J56","J57","J58","J59","J60","J61","J62","J63","J64","J65","J66","J67","J68","J69","J70","J71","J72","J73","J74","J75","J76","J77","J78","J79","J80","J81","J82","J83","J84","J85","J86","J87","J88","J89","J90","J91","J92","J93","J94","J95","J96","J97","J98","J99","J100"
0.827337485154979,0.312142129920236,-2.41336536845741,-1.57191578067286,0.81647927011497,5,3,4,3,5,3,3,3,2,4,3,4,5,1,5,5,3,5,2,5,1,5,5,5,5,5,3,5,4,5,5,5,4,4,5,5,4,5,4,5,1,5,5,1,3,1,4,5,1,2,3,4,1,2,5,5,2,2,5,4,5,1,1,1,5,1,1,2,1,5,1,1,1,2,4,1,2,1,5,3,5,4,4,5,5,4,4,5,2,5,2,5,4,3,5,5,4,5,3,4
1.8551830779135,-0.501734696167025,1.39165615761437,1.74657249904711,0.0905377165408241,5,5,5,4,5,5,5,4,4,5,4,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,5,4,5,5,3,4,5,5,5,4,5,3,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,1,5,5,5,4,5,5,1,2,4,5,5,3,5,4,5,4,2,5,2,4,5,5,4,4,5,4
-0.532665832879777,0.524142242733363,-2.21353811210239,-2.35772308106673,-1.39638150917184,5,1,4,2,1,1,1,2,2,4,1,1,1,4,2,1,3,5,5,1,1,1,1,2,2,2,1,1,3,4,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,2,1,1,3,1,1,1,1,3,1,1,1,3,3,1,3,1,1,1,2,1,1,2,1,1,1,4,3,1,1,1,1,2,5,3,2,3,5,1,1,4,2,2,2,3,4,2,1,5,4,4,3,3
1.21123796638494,-0.932896105187554,0.569510032055751,-0.804594695193467,1.24764037308014,5,4,4,4,5,5,5,4,3,4,5,4,5,5,5,5,4,5,5,2,5,5,5,5,5,4,3,5,5,5,4,5,4,4,4,5,4,5,5,3,3,5,2,3,2,4,1,5,1,2,3,1,3,5,5,3,5,3,2,5,5,5,4,4,5,5,5,4,4,5,3,5,5,5,5,2,5,4,5,5,2,2,4,2,2,2,4,5,5,5,4,1,2,3,4,5,2,4,5,4
-0.796358652706876,-2.91097486683303,-1.67049239231984,-1.72052761046578,0.669831708373964,2,5,5,2,3,3,1,3,3,4,1,1,2,1,4,1,1,2,1,1,1,1,1,3,2,5,4,1,2,1,2,4,1,3,3,5,4,5,3,4,2,1,1,1,1,2,2,1,1,1,3,1,1,1,1,3,1,3,1,4,2,1,5,1,4,1,1,1,2,2,1,2,3,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,3,2,1,1,2,1,1,2,1,1,1
-0.725229291865093,0.687341742749069,-0.162898296733449,0.731580244720656,-0.876889711850817,5,4,1,5,1,5,1,2,2,2,1,4,2,1,3,1,3,2,1,1,1,1,1,1,2,4,1,1,4,1,3,1,1,1,1,2,3,2,1,3,3,5,1,3,3,4,2,3,1,2,3,2,2,2,5,5,4,4,1,5,4,4,2,3,1,1,1,5,4,2,3,1,2,1,1,1,1,3,4,1,2,1,4,5,5,1,1,4,1,1,4,1,4,1,1,1,3,1,3,4
-1.16809087698581,1.7096785133733,0.495972153339388,0.539676697782859,-1.47945976473254,5,2,2,2,1,3,1,3,1,4,1,4,1,1,5,1,4,2,1,1,1,1,1,1,2,2,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,3,1,1,3,1,3,1,3,5,4,3,4,1,1,1,3,4,5,3,1,4,5,3,2,1,3,1,3,1,1,4,3,2,1,2,4,2,4,2,1,4,3,1,1,5,2,3,4
-0.206934342497119,0.800082033435041,2.0904877016085,0.61827888012247,0.631001088396887,5,4,1,4,5,2,1,1,2,4,1,3,5,1,5,1,1,5,2,1,1,2,4,5,4,2,3,1,5,5,3,4,1,3,2,3,3,5,2,3,4,3,5,3,3,4,5,4,1,1,4,1,1,2,5,3,1,3,5,1,5,4,2,5,4,3,3,4,5,2,3,1,5,1,5,2,2,2,5,5,5,3,2,3,5,2,4,4,2,4,2,1,4,2,1,1,4,1,3,4
-1.40153933277656,0.396013967051738,-0.491850438345867,-1.19362429154433,1.80186864400547,4,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,3,5,5,1,4,1,1,4,3,5,1,2,5,2,1,1,1,1,3,1,1,2,2,1,3,1,1,2,1,1,2,1,1,1,2,1,3,5,1,1,1,1,4,1,3,1,3,2,2,5,1,1,1,1,1,5,4,1,3,1,1,1,1,2,4,1,3,1,1,1,2,1,1,1
0.157831599425084,0.51599374263892,-0.0593986178040697,-0.180834628597787,-0.552420280750866,5,3,4,3,1,5,4,4,3,5,1,2,1,4,3,5,3,5,1,2,1,4,4,4,2,1,3,1,4,3,3,1,3,4,1,5,3,5,4,3,1,5,5,2,5,3,4,3,1,1,2,1,4,2,3,3,5,3,2,5,3,3,3,5,5,5,5,2,2,1,3,2,4,2,4,5,1,1,4,5,4,3,2,2,5,5,4,4,2,3,2,5,2,3,2,5,3,1,3,4
-1.33193681182259,0.747262744458804,0.544699966934308,-0.713597657656311,-0.795561485283601,1,2,1,3,1,5,1,1,1,1,3,1,1,4,2,1,1,2,1,1,1,1,2,1,2,4,3,1,1,1,1,1,1,1,3,1,1,2,1,3,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,3,1,3,1,1,5,1,4,3,1,1,2,4,2,3,1,3,5,1,2,1,1,4,1,1,1,3,1,2,2,1,1,1,1,3,2,1,1,2,1,1,1,1,3,4
-0.564706567283885,0.410763653903748,1.44390799026183,-0.0986987744678308,1.29880334066244,3,2,4,3,1,5,4,1,2,4,3,2,2,1,3,2,2,1,1,1,1,1,1,1,5,4,3,3,5,5,4,3,1,2,1,1,3,5,4,3,1,3,2,1,3,1,2,4,5,2,3,3,3,5,1,3,1,3,1,4,5,4,4,1,2,3,4,3,4,4,3,5,5,5,3,5,5,3,5,5,3,1,4,3,1,2,4,4,1,1,4,1,2,2,1,5,4,1,4,3
-0.305372160896783,-0.330027925475213,0.229965719604081,-1.90293488220692,0.205686289346368,3,2,4,4,5,5,3,1,2,4,1,2,5,1,5,1,1,5,2,1,2,1,2,3,5,5,1,2,4,3,1,1,1,2,3,1,3,4,4,3,1,2,1,3,3,2,3,2,1,1,4,1,2,2,1,2,1,3,1,1,4,1,4,1,4,3,2,1,5,2,3,2,5,5,2,1,5,1,5,2,2,1,1,5,4,2,1,1,2,3,4,1,3,3,1,1,4,1,4,3
0.0788895246075711,-0.892999793494368,-0.443631064641989,1.36757241468784,-0.742190921441828,1,3,4,4,5,3,1,5,3,4,5,4,4,4,4,5,4,2,4,1,1,1,2,3,2,2,1,3,4,1,3,5,1,4,3,3,3,5,2,1,2,5,5,4,1,5,2,5,5,5,3,1,3,5,4,5,4,3,4,3,2,4,3,4,5,3,4,2,4,3,2,1,3,1,4,5,1,2,4,3,1,3,2,2,2,1,5,3,3,2,2,5,4,2,1,2,4,4,3,4
-0.371107148972516,0.325895459536962,-1.22198131849482,0.975481232774687,0.913056242190536,2,3,1,3,1,5,3,5,2,4,1,5,2,1,1,2,1,4,1,1,5,1,2,5,2,4,1,1,4,5,4,3,3,5,5,4,4,1,2,3,1,3,3,4,2,5,1,3,2,3,1,1,3,5,1,4,5,3,4,4,5,4,5,1,1,1,1,3,5,1,1,3,3,1,1,1,2,1,1,1,1,3,4,5,3,2,1,4,2,2,2,1,2,1,5,1,4,2,5,3
-1.14998837078558,0.275169052319086,0.50756397476117,-0.904675651946167,-0.760859295483888,1,2,1,4,1,5,1,2,1,1,1,4,1,1,1,2,1,2,1,1,1,1,1,2,2,4,1,1,2,1,3,1,1,2,1,1,1,2,2,1,2,2,1,1,1,3,5,1,1,1,2,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,1,3,1,4,2,3,4,2,5,2,1,1,2,3,2,1,3,2,1,1,4,1,1,3
