ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME
143007654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/2013 11:24:39 AM
150005177,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/2013 3:15:44 PM
153001855,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/2013 3:18:37 PM
150007022,3,4,3,2,2,5,4,5,2,3,4,3,4,2,4,4,3,3,2,4,3,4,4,3,5,4,2,4,2,3,3,2,4,3,3,2,3,4,2,3,5,4,4,4,3,2,3,2,4,2,12/6/2013 3:21:16 PM
153006715,5,2,4,5,4,3,3,3,4,4,3,5,3,4,5,3,4,5,2,3,3,5,3,3,3,3,3,3,3,3,4,1,5,5,4,2,5,2,5,3,4,5,4,5,4,5,4,3,4,5,12/6/2013 3:26:40 PM
153001629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/2013 3:27:41 PM
151001113,4,4,5,4,5,2,2,1,3,3,5,3,3,4,5,3,4,4,5,5,3,3,4,5,3,4,4,3,4,4,4,3,4,3,5,3,3,1,4,4,2,1,3,2,1,2,2,1,3,1,12/6/2013 3:28:43 PM
152008596,4,4,4,3,3,2,2,4,4,5,3,2,2,2,3,3,3,3,4,3,3,4,2,2,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,1,2,2,3,4,3,2,3,3,2,12/6/2013 3:33:08 PM
151004095,4,2,2,2,4,3,4,5,5,1,2,4,2,5,3,3,2,3,5,3,3,1,4,4,4,4,2,1,2,3,4,3,4,3,5,4,3,2,2,4,1,4,4,4,5,4,4,3,3,1,12/6/2013 3:33:45 PM
152005208,4,5,5,5,5,5,1,1,4,5,5,4,3,5,3,5,3,3,5,3,3,1,5,3,3,3,3,2,1,4,4,5,3,3,3,3,4,5,2,4,3,3,4,4,4,3,3,5,2,3,12/6/2013 3:36:39 PM
153001629,2,5,5,3,4,1,1,1,3,5,5,3,5,3,1,3,4,4,3,1,1,4,2,2,3,2,4,4,4,5,4,2,5,5,1,5,2,2,3,4,1,3,3,3,4,5,1,1,4,1,12/6/2013 3:41:26 PM
150006628,4,2,2,2,4,2,4,2,4,5,2,4,2,1,3,2,2,3,1,4,4,5,4,3,3,4,3,1,2,4,4,2,4,3,4,3,3,4,4,4,3,3,3,3,2,3,2,3,4,2,12/6/2013 3:58:07 PM
