ID,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qc18,qc19,qc20,qc21,qc22,qc23,qc24,qc25,qc26,qc27,qc28,qc29,qc30,qc31,qc32,qc33,qc34,qc35,qc36,qc37,qc38,qc39,qc40,qc41,qc42,qc43,qc44,qc45,qc46,qc47,qc48,qc49,qc50,qcTIME,cclassOverF,cclassOverU,cclassAllF,cclassAllU,cclassPIF,cclassPIU,cclassRWF,cclassRWU,cclassGenF,cclassGenU,cclassConF,cclassConU,cclassSophF,cclassSophU,cclassSEF,cclassSEU,cclassCCF,cclassCCU,cclassCLF,cclassCLU,cclassPerF,cclassPerU
143007654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/13 11:24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150005177,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/13 15:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153001855,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/6/13 15:18,2.380952381,0,3.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0
150007022,3,4,3,2,2,5,4,5,2,3,4,3,4,2,4,4,3,3,2,4,3,4,4,3,5,4,2,4,2,3,3,2,4,3,3,2,3,4,2,3,5,4,4,4,3,2,3,2,4,2,12/6/13 15:21,35.55555556,33.33333333,33.33333333,36.11111111,50,33.33333333,25,50,30,20,0,25,28.57142857,28.57142857,44.44444444,44.44444444,14.28571429,57.14285714,0,42.85714286,66.66666667,16.66666667
153006715,5,2,4,5,4,3,3,3,4,4,3,5,3,4,5,3,4,5,2,3,3,5,3,3,3,3,3,3,3,3,4,1,5,5,4,2,5,2,5,3,4,5,4,5,4,5,4,3,4,5,12/6/13 15:26,33.33333333,28.88888889,30.55555556,27.77777778,33.33333333,16.66666667,50,50,20,40,25,50,0,28.57142857,44.44444444,0,14.28571429,42.85714286,0,42.85714286,50,16.66666667
153001629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/6/13 15:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151001113,4,4,5,4,5,2,2,1,3,3,5,3,3,4,5,3,4,4,5,5,3,3,4,5,3,4,4,3,4,4,4,3,4,3,5,3,3,1,4,4,2,1,3,2,1,2,2,1,3,1,12/6/13 15:28,42.22222222,26.66666667,50,19.44444444,16.66666667,0,25,0,60,10,100,0,57.14285714,14.28571429,33.33333333,33.33333333,57.14285714,28.57142857,42.85714286,28.57142857,83.33333333,16.66666667
152008596,4,4,4,3,3,2,2,4,4,5,3,2,2,2,3,3,3,3,4,3,3,4,2,2,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,1,2,2,3,4,3,2,3,3,2,12/6/13 15:33,40,13.33333333,36.11111111,11.11111111,33.33333333,16.66666667,75,25,40,0,50,0,57.14285714,0,0,22.22222222,57.14285714,0,71.42857143,14.28571429,33.33333333,0
151004095,4,2,2,2,4,3,4,5,5,1,2,4,2,5,3,3,2,3,5,3,3,1,4,4,4,4,2,1,2,3,4,3,4,3,5,4,3,2,2,4,1,4,4,4,5,4,4,3,3,1,12/6/13 15:33,26.66666667,46.66666667,30.55555556,41.66666667,16.66666667,50,75,0,30,20,50,25,28.57142857,57.14285714,33.33333333,33.33333333,28.57142857,28.57142857,0,85.71428571,33.33333333,66.66666667
152005208,4,5,5,5,5,5,1,1,4,5,5,4,3,5,3,5,3,3,5,3,3,1,5,3,3,3,3,2,1,4,4,5,3,3,3,3,4,5,2,4,3,3,4,4,4,3,3,5,2,3,12/6/13 15:36,26.66666667,31.11111111,27.77777778,25,33.33333333,16.66666667,25,0,30,20,50,0,14.28571429,28.57142857,0,33.33333333,14.28571429,42.85714286,14.28571429,42.85714286,50,16.66666667
