ID,qcc1,qcc2,qcc3,qcc4,qcc5,qcc6,qcc7,qcc8,qcc9,qcc10,qcc11,qcc12,qcc13,qcc14,qcc15,qcc16,qcc17,qcc18,qcc19,qcc20,qcc21,qcc22,qcc23,qcc24,qcc25,qcc26,qcc27,qcc28,qcc29,qcc30,qcc31,qcc32,qcc33,qcc34,qcc35,qcc36,qcc37,qcc38,qcc39,qcc40,qcc41,qcc42,qcc43,qcc44,qcc45,qcc46,qcc47,qcc48,qcc49,qcc50,qccTIME
150005177,3,4,3,2,5,4,4,5,5,3,0,3,3,3,3,3,4,4,5,4,2,4,4,4,3,4,4,3,3,5,4,4,2,0,1,4,4,4,4,5,2,4,4,2,4,2,4,4,4,4,5/3/2014 10:39:56 AM
151000295,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5/3/2014 10:47:04 AM
153006715,2,4,5,5,5,4,2,1,2,4,4,5,5,5,5,5,5,5,5,0,5,5,3,4,4,4,4,5,5,4,4,5,5,5,4,5,2,2,4,4,4,4,4,5,5,5,1,2,3,5,5/3/2014 10:47:22 AM
150005041,2,2,4,1,4,4,4,3,4,4,1,2,1,4,2,1,4,3,2,4,4,2,2,3,1,1,3,1,1,1,4,4,4,1,1,1,3,5,3,4,5,3,1,1,4,1,2,4,2,2,5/3/2014 10:50:23 AM
151004786,4,3,2,4,5,4,4,3,5,2,3,4,3,5,1,3,3,3,1,4,5,1,3,5,4,3,2,1,3,3,4,3,3,4,4,2,3,4,2,3,3,4,3,4,3,4,3,4,2,4,5/3/2014 10:56:54 AM
140008669,4,5,4,2,4,4,3,2,4,3,4,5,4,1,3,3,4,3,4,4,2,4,1,2,5,4,4,3,4,4,4,2,4,3,3,3,2,1,3,4,4,3,3,2,3,4,2,2,4,1,5/3/2014 11:00:36 AM
153009990,4,3,4,2,5,4,5,3,5,4,4,4,2,4,2,4,4,3,4,4,4,3,3,2,4,2,4,4,3,5,4,4,4,4,2,4,2,1,2,3,3,5,1,3,1,2,3,3,3,3,5/3/2014 11:01:18 AM
150006828,4,4,2,1,5,3,1,3,5,5,3,2,5,2,5,1,3,4,4,5,4,5,2,3,4,2,3,2,3,5,4,4,5,1,3,3,3,2,3,3,4,3,3,3,3,4,2,1,4,3,5/3/2014 11:04:01 AM
150005989,4,5,3,3,3,5,5,2,4,2,4,4,2,2,1,2,3,2,4,3,3,3,4,2,4,0,2,2,4,2,4,5,3,4,3,3,2,4,3,4,4,0,2,3,2,4,3,4,3,2,5/3/2014 11:05:21 AM
151003351,1,3,5,0,4,2,5,1,3,4,4,1,4,1,5,4,4,4,4,2,1,1,2,2,3,1,4,3,3,4,4,1,4,4,2,3,1,1,3,4,3,2,2,5,3,4,1,2,4,1,5/3/2014 11:09:14 AM
146009297,3,4,4,3,3,4,4,3,3,4,3,3,5,5,3,5,3,3,5,3,2,2,3,5,4,0,5,3,3,4,4,1,4,3,2,4,2,1,4,4,2,2,3,2,3,4,3,2,4,2,5/3/2014 11:17:43 AM
