ID,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50,QCTIME,CCLASSOverF,CCLASSOverU,CCLASSAllF,CCLASSAllU,CCLASSPIF,CCLASSPIU,CCLASSRWF,CCLASSRWU,CCLASSGenF,CCLASSGenU,CCLASSConF,CCLASSConU,CCLASSSophF,CCLASSSophU,CCLASSSEF,CCLASSSEU,CCLASSCCF,CCLASSCCU,CCLASSCLF,CCLASSCLU,CCLASSPerF,CCLASSPerU
150007670,5,4,4,3,5,3,5,3,5,3,4,4,2,3,1,3,3,4,4,4,4,4,2,5,4,5,5,3,1,0,4,3,5,5,1,4,2,2,2,4,2,2,2,2,1,4,2,2,4,4,9/1/13 9:35,47.72727273,36.36363636,48.57142857,37.14285714,33.33333333,16.66666667,75,25,66.66666667,22.22222222,100,0,28.57142857,42.85714286,55.55555556,44.44444444,42.85714286,42.85714286,14.28571429,71.42857143,50,33.33333333
152001458,2,4,5,3,5,2,1,4,2,2,4,3,5,2,2,5,4,4,5,1,2,4,1,2,2,2,4,4,3,4,4,3,4,4,1,4,2,2,3,4,2,4,3,4,2,3,1,1,4,1,9/1/13 11:31,84.44444444,2.222222222,86.11111111,0,83.33333333,0,75,0,100,0,100,0,100,0,88.88888889,0,100,0,85.71428571,0,83.33333333,0
152004033,3,4,4,4,4,3,2,3,5,2,3,4,4,5,2,5,3,4,5,3,3,4,2,3,4,2,5,3,4,5,4,3,4,3,2,4,2,2,2,4,2,3,4,3,4,4,2,2,4,2,9/1/13 11:44,64.44444444,8.888888889,66.66666667,5.555555556,66.66666667,0,75,0,80,0,100,0,42.85714286,14.28571429,77.77777778,0,71.42857143,0,28.57142857,28.57142857,50,0
150001090,3,4,3,3,5,4,2,1,5,2,5,3,5,5,1,3,5,5,4,2,2,5,2,3,2,2,4,2,3,4,4,1,5,2,1,4,3,1,3,3,4,5,1,5,4,5,2,3,4,2,9/2/13 21:57,62.22222222,15.55555556,61.11111111,13.88888889,33.33333333,33.33333333,25,75,80,10,75,0,42.85714286,28.57142857,88.88888889,0,57.14285714,14.28571429,42.85714286,14.28571429,83.33333333,0
151004594,2,4,5,1,4,3,2,1,4,3,2,1,2,4,2,2,4,4,5,2,2,2,3,1,2,2,5,2,2,5,4,4,4,4,1,4,1,2,3,5,2,1,1,5,1,2,1,2,4,2,9/3/13 14:54,64.44444444,31.11111111,72.22222222,25,33.33333333,66.66666667,75,25,90,10,100,0,71.42857143,14.28571429,66.66666667,33.33333333,85.71428571,0,85.71428571,0,66.66666667,33.33333333
152006956,2,4,4,5,5,2,4,2,4,4,4,4,5,2,4,4,4,3,4,2,2,4,2,4,2,2,4,2,4,4,4,2,4,4,2,4,4,2,4,4,2,4,4,3,4,4,3,2,4,2,9/3/13 15:55,77.77777778,15.55555556,75,16.66666667,83.33333333,16.66666667,100,0,60,20,50,0,57.14285714,28.57142857,100,0,42.85714286,57.14285714,42.85714286,42.85714286,83.33333333,0
152009603,4,3,4,3,3,4,3,3,5,3,3,4,4,4,2,4,2,4,4,2,3,4,2,4,4,2,4,3,2,4,4,3,4,3,1,4,3,2,3,3,1,3,2,4,2,3,2,2,3,3,9/3/13 17:15,44.44444444,24.44444444,41.66666667,22.22222222,50,0,50,25,50,0,75,0,14.28571429,42.85714286,55.55555556,0,28.57142857,28.57142857,14.28571429,71.42857143,33.33333333,33.33333333
153001402,5,2,4,2,4,5,3,4,4,3,4,5,4,5,4,2,2,3,3,3,4,5,3,4,4,4,5,2,2,4,4,5,5,4,3,3,4,2,4,3,4,2,2,4,4,4,3,2,4,4,9/4/13 11:59,31.11111111,48.88888889,30.55555556,52.77777778,33.33333333,50,25,50,20,40,0,0,0,71.42857143,66.66666667,33.33333333,14.28571429,71.42857143,0,71.42857143,50,50
153007737,3,3,4,3,4,1,1,2,4,2,4,4,4,5,1,4,4,4,5,1,1,5,3,3,2,1,4,4,3,5,4,1,5,5,1,5,1,1,2,4,2,2,2,4,1,4,2,2,2,2,9/4/13 15:51,71.11111111,15.55555556,75,11.11111111,83.33333333,0,75,25,90,10,100,0,85.71428571,0,77.77777778,22.22222222,85.71428571,0,57.14285714,14.28571429,66.66666667,0
151003781,5,2,1,1,3,4,3,2,5,2,1,5,4,5,5,2,2,3,3,4,4,4,2,3,5,1,5,1,3,2,4,2,4,3,2,1,3,1,3,2,3,2,4,4,5,3,3,1,5,4,9/4/13 18:32,31.11111111,46.66666667,25,47.22222222,16.66666667,66.66666667,25,25,10,60,0,25,0,71.42857143,66.66666667,22.22222222,14.28571429,42.85714286,0,57.14285714,33.33333333,50
