DISTRICT,Code,POPULATION,LT_AGE5,BET_AGE5_17,OLDER_65,MED_AGE,P_WHITE,P_BLACK,P_NATIVE,P_ASIAN,P_NHPI,P_HISP,GRAD_RATE,P_COLL_GRAD,LSAH,MHI,MFI,P_POVERTY,MHV
The Chathams School District,3400004,18366,9.29,20.73,11.73,39.4,91.82,0.41,0.3,4.55,0,5.31,97.5,72.3,3.26,134167,173466,2,711000
Great Meadows Regional School District,3400008,8605,6.03,15.85,7.33,39.7,92.28,2.16,0,2.7,0,7.52,92.4,34.9,4.54,83250,96133,2.2,334100
Somerset Hills Regional School District,3400009,11021,6.33,21.56,11.52,41.7,91.18,0.39,0,4.14,0,11.9,91.5,58.9,9.62,129447,150028,2,751200
Absecon City School District,3400660,8179,6.25,14.97,17.01,43.4,73.79,11.17,0.35,9.15,0,7.38,92.2,23.5,8.52,69782,77378,6.1,259100
Alexandria Township School District,3400690,5072,3.92,21.83,12.66,43.3,97.54,0,0,0.81,0,5.74,97.1,44.7,0.99,108125,115139,3.7,503900
Allamuchy Township School District,3400720,4220,5.26,14.19,16.47,44,93.08,1.42,0,4.83,0,4.34,97,46.8,2.8,86161,114000,2.8,332000
Allendale Borough School District,3400750,6600,3.8,23.44,17.83,44.1,86.03,1.68,0,9.86,0,2.41,95.8,59.2,2.9,127757,136364,0.9,731500
Allenhurst Borough School District,3400780,582,0,13.92,16.15,48.5,99.14,0,0,0,0,0.86,94,61,1.37,76964,127875,2.6,1000000
Alloway Township School District,3400810,3039,4.74,23,8.09,37.1,88.09,9.08,1.18,0,0,1.12,92.7,20.1,0.28,86434,93143,4.4,227700
Alpha Borough School District,3400840,2576,8.19,14.56,13.35,39.7,93.4,0.39,0,0.58,0,8.77,86.1,18.7,3.42,62066,79167,3.7,199500
Alpine Borough School District,3400870,2008,5.73,15.84,18.68,49.1,73.36,2.14,0.35,24.15,0,7.27,95.6,70.4,10.46,167917,200125,5.6,1000000
Andover Regional School District,3400900,7172,5.24,15.62,15.88,45.2,91.31,3.5,0,3.23,0,3.49,90.1,31.4,3.81,89397,98167,4.4,345700
Asbury Park City School District,3400930,16652,9.55,18.86,9.54,33.4,27.71,59.41,1.21,1.03,0.13,20.33,74.8,16.4,19.67,30923,37580,29,367500
Atlantic City School District,3400960,39672,9.49,15.7,16.37,37.1,26.65,39.59,0.45,14.58,0,24.15,72.8,17.1,20.89,30601,36740,23.8,231100
Atlantic Highlands Borough School District,3401020,4626,5.92,16.21,14.63,42.6,87.68,3.2,0.28,8.02,0,5.51,91.1,42.7,7.26,84375,99271,3.4,488100
Audubon Borough School District,3401050,8944,4.62,16.38,13.37,39.6,95.89,0.87,0.53,1.06,0,2.05,93.2,27.4,1.5,68859,89802,6.1,218400
Audubon Park Borough School District,3401080,1062,2.73,15.16,21,45.4,98.49,0.28,0,0,0,1.98,79.2,7.5,2.13,40667,52750,8.8,39900
Avalon Borough School District,3401110,1965,1.53,14.71,35.17,59.8,99.54,0,0,0,0,0.56,95.8,53.7,2.89,85855,112292,4.6,1000000
Avon-by-the-Sea Borough School District,3401140,2270,2.56,11.45,24.05,47.6,95.64,0,0,0,0,7.22,93.8,54.8,6.69,87650,108911,3.6,904400
Barrington Borough School District,3401170,6974,5.09,17.35,14.43,37.9,93,1.96,0,3.25,0,6.09,88.4,20.4,3.23,53714,67656,2.3,212300
