CEEB,HIGHSCHOOL,TOWN,STATE,ZIP
311322,A F HAY VLGE S P III,ROCKLEIGH,NJ,7647
310592,A H MOORE LAB SCHOOL,JERSEY CITY,NJ,7305
310228,A L JOHNSON REG H S,CLARK,NJ,7066
310354,ABILITY SCHOOL,ENGLEWOOD,NJ,7631
311325,ABRAHAM CLARK H S,ROSELLE,NJ,7203
310759,ABSEGAMI HIGH SCHOOL,MAYS LANDNG,NJ,8330
310287,ABUNDANT LIFE CHRISTIAN ACAD,EDISON,NJ,8817
310390,AC OF HOLY ANGELS,DEMAREST,NJ,7627
310356,ACAD @ ENGLEWOOD INF TECH/FINA,ENGLEWOOD,NJ,7631
310353,ACAD @ ENGLEWOOD LAW/PUB SAFE,ENGLEWOOD,NJ,7631
310351,ACAD @ ENGLEWOOD PRE-ENGINEER,ENGLEWOOD,NJ,7631
310451,ACAD FOR CUL VIS TELE & POWER,HACKENSACK,NJ,7601
310274,ACAD MATH SCIENCE ENGINEERING,DENVILLE,NJ,7834
310550,ACAD OF SACRED HEART,HOBOKEN,NJ,7030
310620,ACAD OF ST ALOYSIUS,JERSEY CITY,NJ,7304
310255,ACAD OF ST ELIZABETH,CONVENT STA,NJ,7961
310612,ACADEMIC HIGH SCHOOL,JERSEY CITY,NJ,7304
310449,ACADEMY ADVANCEMENT SCI & TECH,HACKENSACK,NJ,7601
310077,ACADEMY CHARTER HS,BELMAR,NJ,7719
310454,ACADEMY FOR BUS & COMP TECH,HACKENSACK,NJ,7601
310452,ACADEMY FOR MED SCIENCE TECH,HACKENSACK,NJ,7601
310273,ACADEMY LAW AND PUBLIC SAFETY,DENVILLE,NJ,7834
310271,ACADEMY VISUAL PERFORMING ARTS,DENVILLE,NJ,7834
311210,ADM FARRAGUT ACADEMY,PINE BEACH,NJ,8741
310303,ADULT LEARNING CENTR,ELIZABETH,NJ,7207
310873,ADULT LEARNING CTR,NEWARK,NJ,7504
310594,AL-GHAZALY JUNIOR-SENIOR HS,TEANECK,NJ,7666
310922,ALIF MUHAMMAD'S NIA SCHOOL,NEWARK,NJ,7102
310314,ALL CAN EXCEL ACADEMY,EAST ORANGE,NJ,7018
310000,ALLENTOWN HIGH SCHOOL,ALLENTOWN,NJ,8501
311650,ALMA PREPARATORY SCH,ZAREPHATH,NJ,8890
311181,AMBASSADOR CHRSTN AC,GLASSBORO,NJ,8028
