DISTRICT,HIGH_SCHOOL,PRI_PUB,DISTRICT_ID,PERCENT_MINORITY,MALE,FEMALE,PERCENT_FL,ST_RATIO,MFI,MHI,POVERTY,CEEB
ELIZABETH,A HAMILTON PREPARATORY ACADEMY,Public,405,89.11%,45%,55%,78%,16.44,47169,43707,16.9,#N/A
ROSELLE BOROUGH,ABRAHAM CLARK H S,Public,10,98.22%,52%,48%,49%,15.12,69922,60558,6.3,311325
GREATER EGG HARBOR REGIONAL,ABSEGAMI High School,Public,40,44.51%,50%,50%,20%,14.74,70028,60260,7.6,310759
MONMOUTH COUNTY VOCATIONAL,ACADEMY ALLIED HEALTH & SCI,Public,25,38.75%,34%,66%,5%,11.56,#N/A,#N/A,#N/A,#N/A
ACADEMY CHARTER H S,ACADEMY CHARTER HS,Public,910,98.94%,44%,56%,43%,11.06,#N/A,#N/A,#N/A,310077
UNION COUNTY VOCATIONAL S,ACADEMY FOR INFO TECH,Public,30,41.30%,59%,41%,8%,10.56,#N/A,#N/A,#N/A,#N/A
PATERSON,ACADEMY HIGH,Public,25,95.33%,47%,53%,68%,18.46,39093,33858,26.1,#N/A
MIDDLESEX COUNTY EDUCATIO,ACADEMY LEARNING CENTER,Public,30,46.27%,71%,29%,8%,6.7,#N/A,#N/A,#N/A,#N/A
ELIZABETH,ADM  W F HALSEY LEADERSHIP ACADEMY,Public,402,94.22%,47%,53%,80%,12.71,47169,43707,16.9,#N/A
OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,ALBERT C   WAGNER CORRECTIONAL FACILITY,Public,15,92.86%,100%,0%,0%,12.25,#N/A,#N/A,#N/A,#N/A
UPPER FREEHOLD REGIONAL,ALLENTOWN HIGH SCHOOL,Public,50,11.62%,50%,50%,3%,17.72,106125,103410,1.7,310000
PATERSON,ALTERNATIVE HIGH SCHOOL - YES ACADEMY,Public,6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,39093,33858,26.1,#N/A
NEWARK,AMERICAN HISTORY HIGH SCHOOL,Public,87,96.55%,38%,62%,79%,14.5,56000,50347,10,#N/A
OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,ANCORA PSYCHIATRIC HOSPITAL,Public,1,50.00%,50%,50%,0%,1,#N/A,#N/A,#N/A,#N/A
OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,ANNE KLIEN FORENSIC CENTER,Public,2,100.00%,100%,0%,0%,1,#N/A,#N/A,#N/A,#N/A
CLARK TOWNSHIP,ARTHUR L  JOHNSON H S,Public,5,11.02%,54%,46%,5%,13.16,93420,78044,3.3,#N/A
PITTSGROVE TOWNSHIP,ARTHUR P SCHALICK H S,Public,40,19.04%,52%,48%,20%,14.12,81056,73508,6.5,310221
NEWARK,ARTS,Public,10,92.22%,41%,59%,64%,11.87,56000,50347,10,310271
ASBURY PARK,ASBURY PARK HIGH SCHOOL,Public,10,97.72%,51%,49%,69%,8,37580,30923,29,310010
ATLANTIC CITY,ATLANTIC CITY HIGH SCHOOL,Public,10,81.48%,52%,48%,53%,14.59,36740,30601,23.8,310030
OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,ATLANTIC CITY TRANSITION DAY PROG,Public,3,100.00%,100%,0%,0%,5,#N/A,#N/A,#N/A,#N/A
OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,ATLANTIC COUNTY   JUV   DET   CENTER,Public,36,91.30%,100%,0%,0%,7.67,#N/A,#N/A,#N/A,#N/A
ATLANTIC CTY SPEC SERV SD,ATLANTIC COUNTY ELEM  MIDDLE,Public,30,53.26%,65%,35%,40%,6.13,#N/A,#N/A,#N/A,#N/A
ATLANTIC CTY SPEC SERV SD,ATLANTIC COUNTY HIGH SCHOOL,Public,60,43.75%,59%,41%,26%,5.03,#N/A,#N/A,#N/A,#N/A
ATLANTIC COUNTY VOCATIONA,ATLANTIC CTY INST OF TECH,Public,10,54.55%,52%,48%,35%,11.33,#N/A,#N/A,#N/A,#N/A
OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,ATLANTIC TRANSITIONAL EDUCATION CENTER,Public,178,86.67%,13%,87%,0%,0,#N/A,#N/A,#N/A,#N/A
