ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpTIME
151002146,3,5,5,5,5,1,3,2,2,1,5,4,4,3,4,5,3,1,4,1,3,4,1,5,5,4,1,5,1,5,4,2,1,4,1,4,5,5,5,1,5,4,12/3/13 12:35
146001872,3,4,3,4,2,3,2,3,3,1,4,4,2,3,4,5,3,2,2,1,4,3,1,5,4,4,3,4,2,4,4,3,3,3,2,4,2,4,3,2,4,3,12/3/13 12:37
152003242,3,3,3,3,3,3,3,4,2,1,4,4,2,4,2,5,4,3,4,2,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,12/3/13 12:42
150001995,1,4,4,5,4,3,2,3,1,3,4,5,2,2,4,3,2,4,4,2,4,4,2,4,2,4,3,4,1,3,4,2,3,2,2,3,3,4,4,2,2,4,12/3/13 12:50
146008273,4,4,3,4,2,1,1,3,4,2,4,4,4,4,4,3,2,5,4,2,2,4,2,4,3,4,2,4,2,4,4,2,2,4,2,4,4,3,4,1,4,4,12/3/13 12:54
150009021,3,5,5,5,1,1,1,5,1,1,5,5,1,5,5,5,2,3,0,1,1,1,1,5,5,5,1,5,1,5,4,2,1,5,1,5,5,5,3,5,3,5,12/3/13 12:58
152009323,4,5,5,5,2,3,2,4,4,1,5,3,4,5,4,5,5,2,2,1,1,5,2,4,4,5,4,5,1,4,4,2,5,4,2,5,4,4,5,2,4,4,12/3/13 13:11
154007338,2,5,5,5,1,2,4,3,5,1,4,2,1,3,4,5,2,1,2,1,2,2,1,5,5,5,5,5,1,5,4,1,3,5,4,5,4,4,5,1,1,5,12/3/13 13:29
149009759,3,5,5,5,4,1,5,4,3,1,4,5,1,5,4,5,2,1,5,1,1,3,1,4,1,5,4,5,1,5,4,1,1,4,1,3,5,4,5,2,0,4,12/3/13 13:59
151004678,1,5,5,1,1,1,1,3,1,1,5,4,2,5,4,5,1,1,4,1,5,3,1,5,5,5,3,5,1,5,4,2,5,5,1,5,5,5,5,1,5,4,12/3/13 14:22
151002128,5,5,4,4,4,4,5,5,5,4,4,4,4,4,5,5,4,4,4,5,4,4,5,5,5,4,4,4,4,5,4,5,5,4,4,5,3,4,4,5,4,4,12/3/13 14:26
144005893,5,4,1,4,3,3,1,5,2,4,4,5,1,4,4,4,3,1,3,1,5,3,2,4,2,4,2,3,1,5,4,2,1,3,1,2,1,1,5,3,2,2,12/3/13 14:43
150009434,3,5,4,3,1,2,2,4,1,2,4,4,2,4,4,5,2,1,3,3,2,3,2,3,3,4,3,3,2,4,4,2,3,4,2,2,3,5,3,2,1,4,12/3/13 15:11
152003381,2,3,5,5,3,1,3,4,1,1,4,5,2,3,4,3,2,3,4,3,3,4,5,5,3,5,1,5,2,5,4,1,2,4,1,4,5,4,5,3,3,4,12/3/13 15:31
153001209,5,4,4,4,5,1,5,5,3,3,5,5,5,3,4,5,4,2,4,5,5,4,3,5,2,5,3,5,4,4,4,3,2,3,2,2,1,1,4,5,4,4,12/3/13 15:41
150006492,3,2,3,4,3,1,3,3,1,2,3,5,0,0,2,3,2,5,4,1,3,3,2,4,1,3,4,3,2,3,4,2,3,2,2,1,1,4,3,1,4,4,12/3/13 16:43
150006856,4,2,3,5,4,3,3,5,4,2,5,5,4,4,4,4,3,1,4,1,3,2,2,3,3,4,5,4,1,4,4,3,3,4,2,2,4,4,4,2,2,3,12/3/13 16:48
149008859,1,4,4,3,2,2,1,4,3,2,3,3,2,4,4,4,2,4,4,2,2,3,2,4,4,4,3,4,2,4,4,2,3,4,4,4,4,4,4,2,4,4,12/3/13 17:29
151003455,3,5,5,3,2,2,2,5,5,1,4,4,1,4,4,5,3,1,5,1,3,4,2,4,5,5,2,5,3,5,4,1,5,4,1,3,5,5,5,2,4,5,12/3/13 17:34
137006962,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/3/13 17:51
152009135,4,4,5,4,4,2,4,3,2,2,4,5,2,4,4,5,2,4,3,2,3,3,2,3,4,4,3,5,2,4,4,1,4,4,1,2,5,2,3,2,4,4,12/3/13 17:59
152001067,2,5,5,4,1,2,2,4,2,2,5,4,2,4,4,3,1,1,3,3,2,3,2,4,4,4,2,4,1,4,4,2,2,4,1,3,5,4,4,2,3,4,12/3/13 17:59
150008512,2,5,5,4,3,1,1,3,2,3,5,5,3,5,3,5,3,2,4,4,2,4,2,5,5,5,1,5,1,5,4,3,4,2,1,1,5,5,5,3,2,5,12/3/13 18:20
,3,3,4,3,4,2,1,4,3,2,2,4,2,2,4,4,4,4,4,2,4,4,2,3,2,3,4,4,2,4,4,2,2,3,2,4,4,4,3,1,3,3,12/3/13 18:24
137006962,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,12/3/13 18:25
152003762,4,4,5,4,2,1,5,5,4,4,2,1,4,5,5,5,2,2,5,1,1,4,2,5,4,5,1,5,2,5,4,2,5,4,1,4,2,1,5,1,2,2,12/3/13 18:50
146005110,3,3,2,4,2,3,2,4,2,2,4,3,2,3,3,4,2,2,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,0,2,3,3,12/3/13 19:05
146001872,3,4,4,5,2,4,2,4,4,1,4,5,2,3,4,5,3,3,2,1,3,3,2,5,4,4,3,4,1,5,4,2,2,4,2,3,3,4,4,1,4,4,12/3/13 19:24
152000780,2,5,4,5,2,1,3,4,1,1,3,5,3,2,2,5,1,2,4,2,3,3,1,4,4,5,5,4,1,4,4,2,2,4,1,3,2,5,4,2,4,5,12/3/13 19:42
141007206,4,3,3,5,2,1,2,5,4,2,4,4,4,3,5,4,3,2,3,3,1,4,2,4,3,4,4,4,2,4,4,2,1,4,1,4,4,4,4,2,3,5,12/3/13 20:22
153006715,5,5,5,5,5,5,5,4,4,3,4,4,2,4,5,5,4,3,5,4,5,5,5,5,5,5,4,3,4,4,3,4,4,5,4,4,5,3,5,3,4,3,12/3/13 20:42
151001780,4,4,2,4,3,2,3,4,1,2,5,5,4,4,3,4,4,1,5,3,2,4,3,3,4,3,3,3,3,4,4,3,4,3,3,4,4,2,4,2,3,4,12/3/13 21:32
151007489,3,4,4,4,2,1,5,3,2,2,3,5,2,1,4,4,3,1,3,3,3,4,2,4,3,4,1,4,2,3,4,2,3,4,3,3,4,3,4,2,2,3,12/3/13 22:42
147004734,4,5,5,4,2,2,2,5,2,2,2,3,4,4,2,3,2,4,2,4,4,2,4,4,3,2,2,3,3,4,3,4,4,2,3,2,3,3,4,2,3,4,12/3/13 22:46
152008638,5,5,1,5,5,3,3,5,3,3,5,5,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,12/3/13 23:10
57000904,1,5,5,5,4,1,2,2,2,2,5,5,2,3,4,5,2,2,2,3,3,2,1,5,5,4,1,5,1,5,4,2,3,3,2,1,4,1,5,3,1,4,12/3/13 23:52
154000462,1,5,4,4,3,1,2,2,1,2,5,4,2,2,4,5,5,2,2,2,2,2,1,5,5,5,1,5,1,5,4,1,5,5,1,2,2,4,5,1,5,4,12/4/13 0:27
152008111,2,5,4,5,5,3,1,5,1,1,5,3,1,5,4,5,5,3,5,5,1,4,1,4,5,5,5,5,1,5,4,3,4,4,4,4,5,1,5,2,4,4,12/4/13 1:00
151004832,3,4,4,4,4,4,4,5,5,4,4,3,2,4,5,5,5,2,3,5,3,5,3,4,5,3,5,4,4,4,3,4,4,5,4,5,4,5,3,1,4,5,12/4/13 5:02
147008957,3,2,3,5,2,1,1,5,1,1,4,5,2,1,5,5,4,1,1,3,3,4,2,5,4,5,2,3,4,2,4,1,3,5,1,5,3,1,5,2,5,4,12/4/13 8:37
151007134,4,5,2,5,2,2,3,4,2,2,4,4,4,4,3,5,4,3,5,1,1,0,2,3,3,4,3,4,1,4,4,2,4,4,1,4,2,4,4,1,5,5,12/4/13 9:36
153000681,2,5,5,5,1,1,4,2,3,1,5,5,1,5,4,5,2,1,3,1,1,3,1,5,5,5,4,5,1,5,4,1,2,5,1,4,5,5,5,1,2,5,12/4/13 10:32
145002276,2,5,5,5,4,1,3,4,4,2,4,2,4,4,4,4,2,3,4,2,2,4,2,4,4,4,4,4,2,4,4,2,5,4,1,4,4,4,4,2,3,4,12/4/13 10:55
151001171,4,5,5,3,0,1,4,5,3,4,5,2,1,5,3,5,2,2,3,2,5,2,5,5,4,3,5,5,2,5,4,2,5,4,1,2,5,4,5,3,2,4,12/4/13 11:41
152009249,4,4,3,4,4,2,4,5,2,3,3,4,1,4,2,4,4,2,4,4,4,4,2,5,3,5,4,4,4,3,4,2,2,2,2,2,2,5,4,4,4,2,12/4/13 11:56
