ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpPTIME,pclassOverF,pclassOverU,pclassAllF,pclassAllU,pclassPIF,pclassPIU,pclassRWF,pclassRWU,pclassGenF,pclassGenU,pclassConF,pclassConU,pclassSophF,pclassSophU,pclassSEF,pclassSEU,pclassCUF,pclassCUU,pclassACF,pclassACU
151002146,3,5,5,5,5,1,3,2,2,1,5,4,4,3,4,5,3,1,4,1,3,4,1,5,5,4,1,5,1,5,4,2,1,4,1,4,5,5,5,1,5,4,12/3/13 12:35,77.77777778,11.11111111,76.92307692,11.53846154,83.33333333,0,100,0,87.5,12.5,100,0,50,33.33333333,100,0,33.33333333,33.33333333,42.85714286,28.57142857
146001872,3,4,3,4,2,3,2,3,3,1,4,4,2,3,4,5,3,2,2,1,4,3,1,5,4,4,3,4,2,4,4,3,3,3,2,4,2,4,3,2,4,3,12/3/13 12:37,55.55555556,11.11111111,53.84615385,7.692307692,66.66666667,0,75,25,75,0,75,0,50,16.66666667,57.14285714,0,33.33333333,16.66666667,28.57142857,14.28571429
152003242,3,3,3,3,3,3,3,4,2,1,4,4,2,4,2,5,4,3,4,2,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,12/3/13 12:42,25,11.11111111,23.07692308,7.692307692,33.33333333,0,0,0,37.5,12.5,25,25,16.66666667,0,14.28571429,0,33.33333333,0,14.28571429,14.28571429
150001995,1,4,4,5,4,3,2,3,1,3,4,5,2,2,4,3,2,4,4,2,4,4,2,4,2,4,3,4,1,3,4,2,3,2,2,3,3,4,4,2,2,4,12/3/13 12:50,55.55555556,22.22222222,53.84615385,23.07692308,50,33.33333333,50,0,62.5,25,50,25,16.66666667,83.33333333,85.71428571,0,50,33.33333333,28.57142857,42.85714286
146008273,4,4,3,4,2,1,1,3,4,2,4,4,4,4,4,3,2,5,4,2,2,4,2,4,3,4,2,4,2,4,4,2,2,4,2,4,4,3,4,1,4,4,12/3/13 12:54,72.22222222,13.88888889,73.07692308,11.53846154,66.66666667,0,100,0,62.5,12.5,75,0,66.66666667,16.66666667,100,0,66.66666667,33.33333333,57.14285714,28.57142857
150009021,3,5,5,5,1,1,1,5,1,1,5,5,1,5,5,5,2,3,0,1,1,1,1,5,5,5,1,5,1,5,4,2,1,5,1,5,5,5,3,5,3,5,12/3/13 12:58,82.85714286,8.571428571,84.61538462,7.692307692,100,0,100,0,87.5,12.5,75,25,83.33333333,16.66666667,85.71428571,0,83.33333333,0,57.14285714,28.57142857
152009323,4,5,5,5,2,3,2,4,4,1,5,3,4,5,4,5,5,2,2,1,1,5,2,4,4,5,4,5,1,4,4,2,5,4,2,5,4,4,5,2,4,4,12/3/13 13:11,75,19.44444444,80.76923077,15.38461538,100,0,100,0,87.5,12.5,100,0,83.33333333,16.66666667,100,0,50,33.33333333,42.85714286,42.85714286
154007338,2,5,5,5,1,2,4,3,5,1,4,2,1,3,4,5,2,1,2,1,2,2,1,5,5,5,5,5,1,5,4,1,3,5,4,5,4,4,5,1,1,5,12/3/13 13:29,86.11111111,8.333333333,88.46153846,3.846153846,83.33333333,0,75,25,100,0,100,0,100,0,100,0,100,0,85.71428571,0
149009759,3,5,5,5,4,1,5,4,3,1,4,5,1,5,4,5,2,1,5,1,1,3,1,4,1,5,4,5,1,5,4,1,1,4,1,3,5,4,5,2,0,4,12/3/13 13:59,77.77777778,13.88888889,76.92307692,11.53846154,83.33333333,16.66666667,100,0,87.5,12.5,100,0,50,33.33333333,85.71428571,0,66.66666667,16.66666667,42.85714286,28.57142857
151004678,1,5,5,1,1,1,1,3,1,1,5,4,2,5,4,5,1,1,4,1,5,3,1,5,5,5,3,5,1,5,4,2,5,5,1,5,5,5,5,1,5,4,12/3/13 14:22,86.11111111,5.555555556,88.46153846,3.846153846,100,0,100,0,100,0,100,0,66.66666667,16.66666667,100,0,83.33333333,16.66666667,57.14285714,14.28571429
