ID,QP1,QP2,QP3,QP4,QP5,QP6,QP7,QP8,QP9,QP10,QP11,QP12,QP13,QP14,QP15,QP16,QP17,QP18,QP19,QP20,QP21,QP22,QP23,QP24,QP25,QP26,QP27,QP28,QP29,QP30,QP31,QP32,QP33,QP34,QP35,QP36,QP37,QP38,QP39,QP40,QP41,QP42,QPTIME
153001402,4,4,3,4,2,2,4,3,2,1,4,5,2,4,3,4,2,2,5,2,4,3,1,5,4,5,5,4,2,4,4,3,3,4,2,3,5,4,3,2,4,4,9/4/13 11:54
57000904,3,3,4,4,4,5,1,3,3,4,4,3,3,5,3,5,1,3,3,3,5,4,2,4,4,4,3,5,1,5,4,1,3,2,1,3,1,3,3,4,3,4,9/4/13 12:47
153001209,5,5,3,3,5,2,5,5,2,1,5,5,5,2,5,4,4,4,4,5,4,3,3,5,1,3,2,5,4,4,4,3,3,3,2,2,1,3,2,5,5,4,9/4/13 12:50
153002460,3,5,2,4,3,3,4,4,4,1,4,4,1,5,3,5,2,4,3,2,4,3,2,4,4,4,4,5,1,4,4,1,2,3,1,3,2,4,4,3,3,4,9/4/13 13:00
144009656,3,3,2,5,4,4,4,4,2,1,3,5,3,4,3,5,1,1,2,4,3,4,2,5,5,3,1,4,1,4,4,3,2,2,4,4,4,4,4,3,2,5,9/4/13 13:01
151004678,4,5,5,4,4,2,1,4,2,1,5,5,5,5,5,5,2,1,5,1,5,3,1,5,5,5,1,5,1,5,4,1,5,5,1,4,5,5,5,1,5,5,9/4/13 13:44
150009021,1,5,5,4,1,1,3,4,1,1,5,4,1,5,5,3,1,4,5,1,3,1,1,5,5,5,4,5,1,5,4,1,3,5,1,5,3,3,5,1,5,5,9/4/13 14:32
150009434,4,5,4,3,2,3,4,5,1,1,5,4,2,4,4,5,1,1,3,2,3,3,2,4,4,5,3,4,1,5,4,1,4,4,2,3,4,5,4,4,1,4,9/4/13 14:33
150006856,5,4,3,4,4,4,3,5,5,0,4,5,4,4,4,0,0,3,4,2,4,4,2,3,2,0,4,4,2,4,4,4,3,3,3,3,4,0,3,3,0,4,9/4/13 15:02
151007489,4,3,3,5,2,1,3,3,3,2,5,5,1,3,4,4,1,2,4,2,4,3,1,4,3,3,1,5,1,5,4,2,4,3,2,3,3,2,4,3,3,3,9/4/13 15:10
