ID,QP1,QP2,QP3,QP4,QP5,QP6,QP7,QP8,QP9,QP10,QP11,QP12,QP13,QP14,QP15,QP16,QP17,QP18,QP19,QP20,QP21,QP22,QP23,QP24,QP25,QP26,QP27,QP28,QP29,QP30,QP31,QP32,QP33,QP34,QP35,QP36,QP37,QP38,QP39,QP40,QP41,QP42,QPTIME,PCLASSOverF,PCLASSOverU,PCLASSAllF,PCLASSAllU,PCLASSPIF,PCLASSPIU,PCLASSRWF,PCLASSRWU,PCLASSGenF,PCLASSGenU,PCLASSConF,PCLASSConU,PCLASSSophF,PCLASSSophU,PCLASSSEF,PCLASSSEU,PCLASSCUF,PCLASSCUU,PCLASSACF,PCLASSACU
153001402,4,4,3,4,2,2,4,3,2,1,4,5,2,4,3,4,2,2,5,2,4,3,1,5,4,5,5,4,2,4,4,3,3,4,2,3,5,4,3,2,4,4,9/4/13 11:54,69.44444444,11.11111111,65.38461538,7.692307692,83.33333333,0,100,0,87.5,0,75,0,66.66666667,16.66666667,57.14285714,0,50,33.33333333,42.85714286,28.57142857
57000904,3,3,4,4,4,5,1,3,3,4,4,3,3,5,3,5,1,3,3,3,5,4,2,4,4,4,3,5,1,5,4,1,3,2,1,3,1,3,3,4,3,4,9/4/13 12:47,41.66666667,22.22222222,50,26.92307692,100,0,75,25,50,25,25,50,16.66666667,83.33333333,71.42857143,0,16.66666667,50,0,71.42857143
153001209,5,5,3,3,5,2,5,5,2,1,5,5,5,2,5,4,4,4,4,5,4,3,3,5,1,3,2,5,4,4,4,3,3,3,2,2,1,3,2,5,5,4,9/4/13 12:50,36.11111111,44.44444444,34.61538462,42.30769231,50,33.33333333,75,25,37.5,37.5,50,25,0,66.66666667,42.85714286,28.57142857,16.66666667,66.66666667,14.28571429,71.42857143
153002460,3,5,2,4,3,3,4,4,4,1,4,4,1,5,3,5,2,4,3,2,4,3,2,4,4,4,4,5,1,4,4,1,2,3,1,3,2,4,4,3,3,4,9/4/13 13:00,55.55555556,19.44444444,53.84615385,15.38461538,83.33333333,16.66666667,75,25,62.5,0,25,0,16.66666667,16.66666667,85.71428571,0,33.33333333,16.66666667,0,28.57142857
144009656,3,3,2,5,4,4,4,4,2,1,3,5,3,4,3,5,1,1,2,4,3,4,2,5,5,3,1,4,1,4,4,3,2,2,4,4,4,4,4,3,2,5,9/4/13 13:01,47.22222222,27.77777778,42.30769231,26.92307692,66.66666667,16.66666667,75,25,37.5,12.5,25,25,16.66666667,50,71.42857143,0,0,33.33333333,0,57.14285714
151004678,4,5,5,4,4,2,1,4,2,1,5,5,5,5,5,5,2,1,5,1,5,3,1,5,5,5,1,5,1,5,4,1,5,5,1,4,5,5,5,1,5,5,9/4/13 13:44,80.55555556,16.66666667,76.92307692,19.23076923,100,0,100,0,87.5,12.5,100,0,50,33.33333333,100,0,33.33333333,66.66666667,28.57142857,57.14285714
150009021,1,5,5,4,1,1,3,4,1,1,5,4,1,5,5,3,1,4,5,1,3,1,1,5,5,5,4,5,1,5,4,1,3,5,1,5,3,3,5,1,5,5,9/4/13 14:32,77.77777778,11.11111111,84.61538462,3.846153846,100,0,75,0,87.5,0,75,0,83.33333333,0,100,0,83.33333333,0,71.42857143,14.28571429
150009434,4,5,4,3,2,3,4,5,1,1,5,4,2,4,4,5,1,1,3,2,3,3,2,4,4,5,3,4,1,5,4,1,4,4,2,3,4,5,4,4,1,4,9/4/13 14:33,72.22222222,11.11111111,73.07692308,11.53846154,100,0,100,0,87.5,12.5,75,25,50,16.66666667,85.71428571,0,50,16.66666667,14.28571429,42.85714286
150006856,5,4,3,4,4,4,3,5,5,0,4,5,4,4,4,0,0,3,4,2,4,4,2,3,2,0,4,4,2,4,4,4,3,3,3,3,4,0,3,3,0,4,9/4/13 15:02,NA,NA,33.33333333,37.5,66.66666667,16.66666667,75,0,33.33333333,33.33333333,33.33333333,0,0,66.66666667,42.85714286,14.28571429,0,100,0,85.71428571
151007489,4,3,3,5,2,1,3,3,3,2,5,5,1,3,4,4,1,2,4,2,4,3,1,4,3,3,1,5,1,5,4,2,4,3,2,3,3,2,4,3,3,3,9/4/13 15:10,55.55555556,11.11111111,50,7.692307692,50,0,75,0,37.5,0,50,0,16.66666667,16.66666667,71.42857143,0,66.66666667,33.33333333,28.57142857,28.57142857
