EMQs,EMv1LL,EMv2LL,EMv3LL,EMv4LL,EMv5LL,EMv6LL
1,d,b,d,b,d,b
2,d,d,d,d,d,d
3,c,c,c,c,c,c
4,e,e,e,e,e,e
5,e,b,e,b,e,b
6,b,b,b,b,b,b
7,a,a,a,a,a,a
8,b,b,b,b,b,b
9,b,b,b,b,b,b
10,c,c,c,c,c,c
11,e,e,e,e,e,e
12,b,b,b,b,b,b
13,b,b,b,b,b,b
14,b,b,b,b,b,b
15,c,c,c,c,c,c
16,e,e,e,e,e,e
17,d,d,d,d,d,d
18,b,b,b,b,b,b
19,a,a,a,a,a,a
20,a,a,a,a,a,a
21,e,e,e,e,e,e
22,e,e,e,e,e,e
23,d,d,d,d,d,d
24,a,a,a,a,a,a
25,d,d,d,d,d,d
26,e,e,e,e,e,e
27,d,d,d,d,d,d
28,a,a,a,a,a,a
29,c,c,c,c,c,c
30,d,d,d,d,d,d
31,a,a,a,a,a,a
32,e,e,e,e,e,e
33,c,c,c,c,c,c
34,c,c,c,c,c,c
35,a,a,a,a,a,a
36,e,e,e,e,e,e
37,d,d,d,d,d,d
