school_name,county_id,school_county,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_students,total_american_indian_alaskan,total_asian,total_hispanic,total_black,total_white,fte_teachers,student_teacher_ratio,coed,school_type,school_level,religious_affiliation,library,high_grade,low_grade
HOLY SPIRIT HIGH SCHOOL,1,ATLANTIC,187,194,187,183,751,0,55,23,45,608,47,16,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
HIGHLAND ACADEMY,1,ATLANTIC,1,1,2,-1,78,0,1,1,3,29,3,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 11,Pre-K
JERSEY SHORE BAPTIST ACADEMY,1,ATLANTIC,-1,-1,-1,2,17,0,0,2,12,0,5,3,Coed,Alternative,Combined elementary and secondary,Other religious,No,Grade 12,Pre-K
CHAMPION BAPTIST ACADEMY,1,ATLANTIC,4,3,5,-1,64,0,0,8,18,23,10,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Pre-K
TALMUDICAL ACADEMY OF NEW JERSEY,25,MONMOUTH,10,8,12,10,40,0,0,0,0,40,8,5,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
STRANG SCHOOL/RANCH HOPE INC,33,SALEM,12,21,9,7,55,0,0,7,20,21,11,5,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 7
THE ARCHWAY SCHOOL,7,CAMDEN,-1,-1,-1,-1,220,0,0,25,61,134,39,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
CASTLE ACADEMY,7,CAMDEN,3,-1,-1,1,234,0,2,25,25,92,26,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
LORD STIRLING SCHOOL,35,SOMERSET,-1,-1,-1,-1,38,0,0,6,31,0,9,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
MARIST HIGH SCHOOL,17,HUDSON,87,137,114,106,444,0,110,86,181,50,30,15,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
HOLY FAMILY ACADEMY,17,HUDSON,50,20,53,50,173,0,10,26,2,135,29,6,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
YESHIVA GEDOLAH OF BAYONNE,17,HUDSON,14,20,14,20,68,0,0,0,0,68,11,6,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
OCEAN ACADEMY,29,OCEAN,6,6,7,8,38,0,0,0,4,34,6,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 2
SOMERSET HILLS LEARNING INSTITUT,35,SOMERSET,-1,-1,-1,-1,28,0,3,1,0,21,8,3,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
EAST MOUNTAIN SCHOOL,35,SOMERSET,21,27,30,22,103,0,2,13,49,33,24,4,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 8
1ST CEREBRAL PALSY OF NJ,13,ESSEX,-1,-1,-1,-1,60,0,1,24,23,6,12,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Pre-K,Pre-K
ST ROSE HIGH SCHOOL,25,MONMOUTH,146,140,150,126,562,2,5,15,21,509,41,14,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
BLAIR ACADEMY,41,WARREN,85,103,129,131,448,3,61,14,20,334,60,8,Coed,Regular elementary or secondary,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
STEPPING STONE SCHOOL,41,WARREN,4,2,6,4,42,0,0,2,4,36,7,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 2
SAGE DAY AT BOONTON,27,MORRIS,8,8,13,10,39,0,0,2,6,31,6,6,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
GREEN BROOK ACADEMY,35,SOMERSET,7,7,16,11,43,0,1,7,30,5,8,5,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 8
DEVEREUX-NJCA,11,CUMBERLAND,1,6,4,12,29,0,1,1,11,16,6,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 6
DOANE ACADEMY,5,BURLINGTON,21,19,26,18,187,0,1,4,58,119,31,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
LIFE CENTER ACADEMY,5,BURLINGTON,29,31,30,31,301,0,2,15,130,154,23,13,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Kingergarten
MOUNT SAINT DOMINIC ACADEMY,13,ESSEX,63,98,66,99,326,0,26,18,15,255,34,10,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
URBAN PROMISE ACADEMY,7,CAMDEN,7,12,11,11,41,0,0,13,28,0,6,7,Coed,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
CAPE CHRISTIAN ACADEMY,9,CAPE MAY,9,2,5,4,88,0,0,8,4,72,13,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Pre-K
NEWMARK HIGH SCHOOL,23,MIDDLESEX,8,12,13,17,50,0,0,4,6,40,8,6,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
GATEWAY SCHOOL,23,MIDDLESEX,-1,-1,-1,-1,92,0,2,19,59,12,14,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
WASHINGTON ACADEMY,13,ESSEX,13,18,20,21,135,0,0,31,87,17,34,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
PG CHAMBERS SCHOOL,27,MORRIS,-1,-1,-1,-1,112,0,5,6,3,76,14,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Pre-K,Pre-K
ECLC OF NEW JERSEY,27,MORRIS,-1,-1,-1,-1,226,0,13,14,39,157,30,8,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
CAMDEN CATHOLIC HIGH SCHOOL,7,CAMDEN,216,218,199,214,847,0,55,103,160,529,57,15,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
DELAWARE VALLEY TORAH INSTITUTE,7,CAMDEN,3,3,2,-1,8,0,0,0,0,8,3,3,All-Male,Special program emphasis,Secondary,Other religious,No,Grade 11,Grade 9
BANCROFT PRESCHOOL,7,CAMDEN,-1,-1,-1,-1,29,0,2,1,4,22,5,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
THE KING'S CHRISTIAN SCHOOL,7,CAMDEN,30,29,25,29,274,25,20,15,46,156,27,10,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
MONTESSORI LEARNING CENTER,7,CAMDEN,-1,-1,-1,-1,85,0,4,1,3,12,4,5,Coed,Montessori,Combined elementary and secondary,Nonsectarian,No,Pre-K,Pre-K
BROOKFIELD SCHOOLS,7,CAMDEN,-1,-1,-1,-1,133,0,0,14,40,79,20,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
MEADOW VIEW JUNIOR ACADEMY,5,BURLINGTON,5,5,3,-1,94,0,4,19,11,33,5,14,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Pre-K
MOTHER SETON REGIONAL HIGH SCHOOL,39,UNION,87,111,97,77,372,0,62,55,64,173,29,13,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
PIONEER ACADEMY OF SCIENCE,31,PASSAIC,36,19,11,14,179,0,7,10,0,161,21,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 1
MESIVTA OF CLIFTON,31,PASSAIC,22,20,16,-1,58,0,0,0,0,58,8,7,All-Male,Regular elementary or secondary,Secondary,Other religious,No,Grade 11,Grade 9
PASSAIC COUNTY ELKS CP CENTER &,31,PASSAIC,-1,-1,-1,-1,113,22,22,23,23,23,9,13,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
THE LEARNING CENTER FOR EXCEPTIO,31,PASSAIC,13,6,13,15,190,0,19,56,37,75,17,11,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Pre-K
VOYAGERS' COMMUNITY SCHOOL,25,MONMOUTH,3,2,-1,-1,30,1,0,0,3,26,4,7,Coed,Alternative,Combined elementary and secondary,Nonsectarian,Yes,Grade 10,Kingergarten
CRESTVIEW EDUCATIONAL TRUST,39,UNION,8,12,3,6,62,0,0,0,0,62,9,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Grade 5
JARDINE ACADEMY,39,UNION,6,9,6,23,89,0,2,29,47,7,11,8,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
NEW JERSEY UNITED CHRISTIAN ACADEMY,25,MONMOUTH,12,24,24,22,93,0,25,3,6,59,16,6,Coed,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 7
HOLY CROSS HIGH SCHOOL,5,BURLINGTON,143,194,184,178,699,0,10,21,49,593,45,16,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
