school_name,school_county,school_type,state_district_id,total_students,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_male,total_female,total_american_indian_alaskan,total_asians,total_black,total_hispanic,total_white,free_lunch_eligible,student_teacher_ratio,fte_teachers,school_level,low_grade,high_grade
A HAMILTON PREPARATORY ACADEMY,UNION,1-Regular school,3404590,707,197,191,182,137,316,391,0,14,138,478,77,550,16.44,43,3-High,9th Grade,12th Grade
ABRAHAM CLARK HIGH SCHOOL,UNION,1-Regular school,3414280,1066,175,245,207,185,551,515,0,16,742,288,19,523,15.12,70.5,3-High,8th Grade,12th Grade
ABSEGAMI H S,ATLANTIC,1-Regular school,3406060,1948,465,502,486,488,979,969,0,288,325,246,1081,385,14.74,132.2,3-High,9th Grade,12th Grade
ACADEMY ALLIED HEALTH & SCI,MONMOUTH,3-Vocational school,3417500,289,78,72,67,72,97,192,0,84,13,15,177,15,11.56,25,3-High,9th Grade,12th Grade
ACADEMY CHARTER HIGH SCHOOL,MONMOUTH,1-Regular school,3400048,188,51,51,41,45,82,106,0,0,160,24,2,81,11.06,17,3-High,9th Grade,12th Grade
ACADEMY FOR INFO TECH,UNION,3-Vocational school,3418040,247,64,61,60,61,146,101,0,38,30,28,145,20,10.56,23.4,3-High,9th Grade,12th Grade
ACADEMY HIGH SCHOOL,PASSAIC,1-Regular school,3412690,1200,276,331,233,271,566,634,0,40,495,609,56,820,18.46,65,3-High,9th Grade,12th Grade
ACADEMY LEARNING CENTER,MIDDLESEX,2-Special education school,3480180,134,2,3,3,8,95,39,1,20,25,16,72,11,6.7,20,4-Other,Prekindergarten,12th Grade
ADM  W F HALSEY LEADERSHIP ACADEMY,UNION,1-Regular school,3404590,1055,399,262,180,157,495,560,1,12,255,726,61,839,12.71,83,3-High,9th Grade,12th Grade
ALBERT C   WAGNER CORRECTIONAL FACILITY,BURLINGTON,4-Alternative/other school,3400088,98,16,19,32,31,98,0,0,0,75,16,7,0,12.25,8,3-High,9th Grade,12th Grade
