ItemIndex,Item,Category,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,CH1,CH2,CH3,CH4,CH5,CH6,EM1,EM2,EM3,EM4,EM5,EM6,FC1
1,RICE_FRAC,MATH_REASON,,,,,1,1,,,,,,,,,,,,,,,
2,RICE_INT,MATH_REASON,1,1,,,,,,,,,,,,,,,,,,,
3,RICE_DEC,MATH_REASON,,,1,1,,,,,,,,,,,,,,,,,
4,RICE_VAR,MATH_REASON,,,,,,,1,1,,,,,,,,,,,,,
5,MOLIVE_INT,MATH_REASON,,7,,7,,2,,2,,,,,,,,,,,,,
6,MOLIVE_VAR,MATH_REASON,2,,2,,7,,7,,,,,,,,,,,,,,
7,COLIVE_INT,MATH_REASON,,,,,,,,,,7,,7,,2,,,,,,,
8,COLIVE_VAR,MATH_REASON,,,,,,,,,2,,2,,7,,,,,,,,
9,POWER_INT,MATH_REASON,7,,7,,2,,2,,,,,,,,,,,,,,
10,POWER_VAR,MATH_REASON,,2,,2,,7,,7,,,,,,,,,,,,,
11,BIKEPATH,MATH_REASON,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
12,WOOZLES,MATH_REASON,4,4,4,4,4,4,4,4,,,,,,,,,,,,,
13,SQUARENESS,MATH_REASON,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
14,BHUTAN_INT,MATH_REASON,6,6,6,6,6,6,6,6,,,,,,,,3,,3,,3,
15,PAINT_DEC,MATH_REASON,,,,,,,,,1,1,,,,,2,2,,,,,
16,DOOR_INT,MATH_REASON,,,,,,,,,,,1,1,,,,,2,2,,,
17,DOOR_DEC,MATH_REASON,,,,,,,,,,,,,1,1,,,,,2,2,
18,JOGGER,MATH_REASON,,,,,,,,,5,,5,,5,,,,,,,,
19,HELIUM,MATH_REASON,,,,,,,,,,5,,5,,5,,,,,,,
20,TRAX_INT,MATH_REASON,,,,,,,,,7,,7,,2,,,,,,,,
21,TRAX_VAR,MATH_REASON,,,,,,,,,,2,,2,,7,,,,,,,
22,TOYCAR_A,MATH_REASON,,,,,,,,,3,3,3,3,3,3,,,,,,,
23,TOYCAR_B,MATH_REASON,,,,,,,,,4,4,4,4,4,4,,,,,,,
24,BIKE_AB,MATH_REASON,,,,,,,,,6,6,6,6,6,6,,,,,,,
25,BB_MASS,MATH_REASON,,,,,,,,,,,,,,,1,,1,,1,,
26,BB_CHG,MATH_REASON,,,,,,,,,,,,,,,,1,,1,,1,
27,BHUTAN_VAR,MATH_REASON,,,,,,,,,,,,,,,3,,3,,3,,
28,TOPO_E,MATH_REASON,,,,,,,,,,,,,,,,5,,5,,5,
29,TOPO_G,MATH_REASON,,,,,,,,,,,,,,,5,,5,,5,,
30,JOG_AB,MATH_REASON,,,,,,,,,,,,,,,4,4,4,4,4,4,
31,PHY_CHM,MATH_REASON,,,,,,,,,8,8,8,8,8,8,,,,,,,
32,CSEM1,CSEM,,,,,,,,,,,,,,,,,,,,,
33,CSEM2,CSEM,,,,,,,,,,,,,,,,,,,,,
34,CSEM3,CSEM,,,,,,,,,,,,,,,,,,,,,
35,CSEM4,CSEM,,,,,,,,,,,,,,,,,,,,,
36,CSEM5,CSEM,,,,,,,,,,,,,,,,,,,,,
37,CSEM6,CSEM,,,,,,,,,,,,,,,,,,,,,
38,CSEM7,CSEM,,,,,,,,,,,,,,,,,,,,,
39,CSEM8,CSEM,,,,,,,,,,,,,,,,,,,,,
40,CSEM9,CSEM,,,,,,,,,,,,,,,,,,,,,
41,CSEM10,CSEM,,,,,,,,,,,,,,,,,,,,,
42,CSEM11,CSEM,,,,,,,,,,,,,,,,,,,,,
43,CSEM12,CSEM,,,,,,,,,,,,,,,,,,,,,
44,CSEM13,CSEM,,,,,,,,,,,,,,,,,,,,,
45,CSEM14,CSEM,,,,,,,,,,,,,,,,,,,,,
46,CSEM15,CSEM,,,,,,,,,,,,,,,,,,,,,
47,CSEM16,CSEM,,,,,,,,,,,,,,,,,,,,,
48,CSEM17,CSEM,,,,,,,,,,,,,,,,,,,,,
49,CSEM18,CSEM,,,,,,,,,,,,,,,,,,,,,
50,CSEM19,CSEM,,,,,,,,,,,,,,,,,,,,,
51,CSEM20,CSEM,,,,,,,,,,,,,,,,,,,,,
52,CSEM21,CSEM,,,,,,,,,,,,,,,,,,,,,
53,CSEM22,CSEM,,,,,,,,,,,,,,,,,,,,,
54,CSEM23,CSEM,,,,,,,,,,,,,,,,,,,,,
55,CSEM24,CSEM,,,,,,,,,,,,,,,,,,,,,
56,CSEM25,CSEM,,,,,,,,,,,,,,,,,,,,,
57,CSEM26,CSEM,,,,,,,,,,,,,,,,,,,,,
58,CSEM27,CSEM,,,,,,,,,,,,,,,,,,,,,
59,CSEM28,CSEM,,,,,,,,,,,,,,,,,,,,,
60,CSEM29,CSEM,,,,,,,,,,,,,,,,,,,,,
61,CSEM30,CSEM,,,,,,,,,,,,,,,,,,,,,
62,CSEM31,CSEM,,,,,,,,,,,,,,,,,,,,,
63,CSEM32,CSEM,,,,,,,,,,,,,,,,,,,,,
64,1STFCI1,FCI,,,,,,,,,,,,,,,,,,,,,
65,1STFCI2,FCI,,,,,,,,,,,,,,,,,,,,,
66,1STFCI3,FCI,,,,,,,,,,,,,,,,,,,,,
67,1STFCI4,FCI,,,,,,,,,,,,,,,,,,,,,
68,1STFCI5,FCI,,,,,,,,,,,,,,,,,,,,,
69,1STFCI6,FCI,,,,,,,,,,,,,,,,,,,,,
70,1STFCI7,FCI,,,,,,,,,,,,,,,,,,,,,
71,1STFCI8,FCI,,,,,,,,,,,,,,,,,,,,,
72,1STFCI9,FCI,,,,,,,,,,,,,,,,,,,,,
73,1STFCI10,FCI,,,,,,,,,,,,,,,,,,,,,
74,1STFCI11,FCI,,,,,,,,,,,,,,,,,,,,,
75,1STFCI12,FCI,,,,,,,,,,,,,,,,,,,,,
76,1STFCI13,FCI,,,,,,,,,,,,,,,,,,,,,
77,1STFCI14,FCI,,,,,,,,,,,,,,,,,,,,,
78,1STFCI15,FCI,,,,,,,,,,,,,,,,,,,,,
79,1STFCI16,FCI,,,,,,,,,,,,,,,,,,,,,
80,1STFCI17,FCI,,,,,,,,,,,,,,,,,,,,,
81,1STFCI18,FCI,,,,,,,,,,,,,,,,,,,,,
82,1STFCI19,FCI,,,,,,,,,,,,,,,,,,,,,
83,1STFCI20,FCI,,,,,,,,,,,,,,,,,,,,,
84,1STFCI21,FCI,,,,,,,,,,,,,,,,,,,,,
85,1STFCI22,FCI,,,,,,,,,,,,,,,,,,,,,
86,1STFCI23,FCI,,,,,,,,,,,,,,,,,,,,,
