ItemIndex,Item,Category,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,CH1,CH2,CH3,CH4,CH5,CH6,EM1,EM2,EM3,EM4,EM5,EM6,FC1
1,RICE_FRAC,MATH_REASON,,,,,1,1,,,,,,,,,,,,,,,
2,RICE_INT,MATH_REASON,1,1,,,,,,,,,,,,,,,,,,,
3,RICE_DEC,MATH_REASON,,,1,1,,,,,,,,,,,,,,,,,
4,RICE_VAR,MATH_REASON,,,,,,,1,1,,,,,,,,,,,,,
5,MOLIVE_INT,MATH_REASON,,7,,7,,2,,2,,,,,,,,,,,,,
6,MOLIVE_VAR,MATH_REASON,2,,2,,7,,7,,,,,,,,,,,,,,
7,COLIVE_INT,MATH_REASON,,,,,,,,,,7,,7,,2,,,,,,,
8,COLIVE_VAR,MATH_REASON,,,,,,,,,2,,2,,7,,,,,,,,
9,POWER_INT,MATH_REASON,7,,7,,2,,2,,,,,,,,,,,,,,
10,POWER_VAR,MATH_REASON,,2,,2,,7,,7,,,,,,,,,,,,,
11,BIKEPATH,MATH_REASON,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
12,WOOZLES,MATH_REASON,4,4,4,4,4,4,4,4,,,,,,,,,,,,,
13,SQUARENESS,MATH_REASON,5,5,5,5,5,5,5,5,,,,,,,,,,,,,
14,BHUTAN_INT,MATH_REASON,6,6,6,6,6,6,6,6,,,,,,,,3,,3,,3,
15,PAINT_DEC,MATH_REASON,,,,,,,,,1,1,,,,,2,2,,,,,
16,DOOR_INT,MATH_REASON,,,,,,,,,,,1,1,,,,,2,2,,,
17,DOOR_DEC,MATH_REASON,,,,,,,,,,,,,1,1,,,,,2,2,
18,JOGGER,MATH_REASON,,,,,,,,,5,,5,,5,,,,,,,,
19,HELIUM,MATH_REASON,,,,,,,,,,5,,5,,5,,,,,,,
20,TRAX_INT,MATH_REASON,,,,,,,,,7,,7,,2,,,,,,,,
21,TRAX_VAR,MATH_REASON,,,,,,,,,,2,,2,,7,,,,,,,
22,TOYCAR_A,MATH_REASON,,,,,,,,,3,3,3,3,3,3,,,,,,,
23,TOYCAR_B,MATH_REASON,,,,,,,,,4,4,4,4,4,4,,,,,,,
24,BIKE_AB,MATH_REASON,,,,,,,,,6,6,6,6,6,6,,,,,,,
25,BB_MASS,MATH_REASON,,,,,,,,,,,,,,,1,,1,,1,,
26,BB_CHG,MATH_REASON,,,,,,,,,,,,,,,,1,,1,,1,
27,BHUTAN_VAR,MATH_REASON,,,,,,,,,,,,,,,3,,3,,3,,
28,TOPO_E,MATH_REASON,,,,,,,,,,,,,,,,5,,5,,5,
29,TOPO_G,MATH_REASON,,,,,,,,,,,,,,,5,,5,,5,,
30,JOG_AB,MATH_REASON,,,,,,,,,,,,,,,4,4,4,4,4,4,
31,CSEM1,CSEM,,,,,,,,,,,,,,,6,6,6,6,6,6,
32,CSEM2,CSEM,,,,,,,,,,,,,,,7,7,7,7,7,7,
33,CSEM3,CSEM,,,,,,,,,,,,,,,8,8,8,8,8,8,
34,CSEM4,CSEM,,,,,,,,,,,,,,,9,9,9,9,9,9,
35,CSEM5,CSEM,,,,,,,,,,,,,,,10,10,10,10,10,10,
36,CSEM6,CSEM,,,,,,,,,,,,,,,11,11,11,11,11,11,
37,CSEM7,CSEM,,,,,,,,,,,,,,,12,12,12,12,12,12,
38,CSEM8,CSEM,,,,,,,,,,,,,,,13,13,13,13,13,13,
39,CSEM9,CSEM,,,,,,,,,,,,,,,14,14,14,14,14,14,
40,CSEM10,CSEM,,,,,,,,,,,,,,,15,15,15,15,15,15,
41,CSEM11,CSEM,,,,,,,,,,,,,,,16,16,16,16,16,16,
42,CSEM12,CSEM,,,,,,,,,,,,,,,17,17,17,17,17,17,
43,CSEM13,CSEM,,,,,,,,,,,,,,,18,18,18,18,18,18,
44,CSEM14,CSEM,,,,,,,,,,,,,,,19,19,19,19,19,19,
45,CSEM15,CSEM,,,,,,,,,,,,,,,20,20,20,20,20,20,
46,CSEM16,CSEM,,,,,,,,,,,,,,,21,21,21,21,21,21,
47,CSEM17,CSEM,,,,,,,,,,,,,,,22,22,22,22,22,22,
48,CSEM18,CSEM,,,,,,,,,,,,,,,23,23,23,23,23,23,
49,CSEM19,CSEM,,,,,,,,,,,,,,,24,24,24,24,24,24,
50,CSEM20,CSEM,,,,,,,,,,,,,,,25,25,25,25,25,25,
51,CSEM21,CSEM,,,,,,,,,,,,,,,26,26,26,26,26,26,
52,CSEM22,CSEM,,,,,,,,,,,,,,,27,27,27,27,27,27,
53,CSEM23,CSEM,,,,,,,,,,,,,,,28,28,28,28,28,28,
54,CSEM24,CSEM,,,,,,,,,,,,,,,29,29,29,29,29,29,
55,CSEM25,CSEM,,,,,,,,,,,,,,,30,30,30,30,30,30,
56,CSEM26,CSEM,,,,,,,,,,,,,,,31,31,31,31,31,31,
57,CSEM27,CSEM,,,,,,,,,,,,,,,32,32,32,32,32,32,
58,CSEM28,CSEM,,,,,,,,,,,,,,,33,33,33,33,33,33,
59,CSEM29,CSEM,,,,,,,,,,,,,,,34,34,34,34,34,34,
60,CSEM30,CSEM,,,,,,,,,,,,,,,35,35,35,35,35,35,
61,CSEM31,CSEM,,,,,,,,,,,,,,,36,36,36,36,36,36,
62,CSEM32,CSEM,,,,,,,,,,,,,,,37,37,37,37,37,37,
63,1STFCI1,FCI,8,8,8,8,8,8,8,8,,,,,,,,,,,,,1
64,1STFCI2,FCI,9,9,9,9,9,9,9,9,,,,,,,,,,,,,2
65,1STFCI3,FCI,10,10,10,10,10,10,10,10,,,,,,,,,,,,,3
66,1STFCI4,FCI,11,11,11,11,11,11,11,11,,,,,,,,,,,,,4
67,1STFCI5,FCI,12,12,12,12,12,12,12,12,,,,,,,,,,,,,5
68,1STFCI6,FCI,13,13,13,13,13,13,13,13,,,,,,,,,,,,,6
69,1STFCI7,FCI,14,14,14,14,14,14,14,14,,,,,,,,,,,,,7
70,1STFCI8,FCI,15,15,15,15,15,15,15,15,,,,,,,,,,,,,8
71,1STFCI9,FCI,16,16,16,16,16,16,16,16,,,,,,,,,,,,,9
72,1STFCI10,FCI,17,17,17,17,17,17,17,17,,,,,,,,,,,,,10
73,1STFCI11,FCI,18,18,18,18,18,18,18,18,,,,,,,,,,,,,11
74,1STFCI12,FCI,19,19,19,19,19,19,19,19,,,,,,,,,,,,,12
75,1STFCI13,FCI,20,20,20,20,20,20,20,20,,,,,,,,,,,,,13
76,1STFCI14,FCI,21,21,21,21,21,21,21,21,,,,,,,,,,,,,14
